Yoga for Artist,4411 Park Blvd,San Diego,CA,92116,32.75782,-117.14595,sports-facility-venue
Aham Maha Yoga,4229 Park Blvd,San Diego,CA,92103,32.75466,-117.14586,sports-facility-venue
Nature's Whisper Yoga,4205 Park Blvd,San Diego,CA,92103,32.75431,-117.14588,sports-facility-venue
Kelly Jacobson Yoga,4205 Park Blvd,San Diego,CA,92103,32.75431,-117.14588,sports-facility-venue
One Love Yoga San Diego,1531 Tyler Ave,San Diego,CA,92103,32.75339,-117.14906,sports-facility-venue
Indigo Massage & Yoga,1531 Tyler Ave,San Diego,CA,92103,32.75339,-117.14906,sports-facility-venue
Whole Body Massage and Yoga,1531 Tyler Ave,San Diego,CA,92103,32.75337,-117.14906,business-services
Whole Body Massage and Yoga,4002 Park Blvd,San Diego,CA,92103,32.7507,-117.14669,sports-facility-venue
Astanga Yoga Center Uptown,1450 University Ave,San Diego,CA,92103,32.74894,-117.15006,sports-facility-venue
Corepower Yoga,1080 University Ave,San Diego,CA,92103,32.74866,-117.153738,education-facility
If I Was A Bird Yoga,1040 University Ave,San Diego,CA,92103,32.748652,-117.154004,sports-facility-venue
Flying Swami Yoga,3973 8th Ave,San Diego,CA,92103,32.74974,-117.15712,sports-facility-venue
Living Heart Yoga,2852 Adams Ave,San Diego,CA,92116,32.76311,-117.13244,business-services
Satya Yoga,2852 Adams Ave,San Diego,CA,92116,32.76311,-117.13244,sports-facility-venue
Corepower Yoga,980 Camino de la Reina,San Diego,CA,92108,32.76841,-117.15461,education-facility
Bheemashakti Yoga School,4379 30th St,San Diego,CA,92104,32.7569,-117.12999,business-services
Embody Physical Therapy and Yoga,4411 30th St,San Diego,CA,92116,32.75751,-117.12988,sports-facility-venue
Yoga with Madeline Manayo,4569 30th St,San Diego,CA,92116,32.76045,-117.12998,sports-facility-venue
Corepower Yoga,3918 30th St,San Diego,CA,92104,32.74888,-117.13035,education-facility
Kundalini Yoga Center,1238 Upas St,San Diego,CA,92103,32.74143,-117.15254,business-services
