Soul Girl Yoga,6335 Avenida Cresta,La Jolla,CA,92037,32.82415,-117.27804,Business & Services
Creative Growth Yoga,7556 Fay Ave,La Jolla,CA,92037,32.84137,-117.27429,Educational Facility
Elite Yoga La Jolla,7514 Girard Ave,La Jolla,CA,92037,32.84072,-117.27297,Sport Facility/Venue
Ann West Yoga,7460 Girard Ave,La Jolla,CA,92037,32.84004,-117.27275,Sport Facility/Venue
Buddhi Yoga,7843 Girard Ave,La Jolla,CA,92037,32.84597,-117.27386,Clothing & Accessories
Prenatal Yoga with Magdalena,7843 Girard Ave,La Jolla,CA,92037,32.84597,-117.27386,Hospital or Healthcare Facility
Prana Yoga Center,1041 Silverado St,La Jolla,CA,92037,32.84517,-117.27297,Sport Facility/Venue
Soul Girl Yoga,Torrey Pines Rd,La Jolla,CA,92037,32.84289,-117.27235,Sport Facility/Venue
Yoga with Mandy,Herschel Ave,La Jolla,CA,92037,32.84739,-117.27252,Sport Facility/Venue
Oceanfront Yoga,Ocean Blvd,San Diego,CA,92109,32.802164,-117.259431,Business & Services
Beach Sunset Yoga,Caminito Valverde,La Jolla,CA,92037,32.83688,-117.2552,Sport Facility/Venue
Ashtanga Yoga Republic,4655 Cass St,San Diego,CA,92109,32.7995,-117.25219,Sport Facility/Venue
Bird Rock Yoga,910 Grand Ave,San Diego,CA,92109,32.79552,-117.25257,Sport Facility/Venue
Yoga with Brianna,Everts St,San Diego,CA,92109,32.8035,-117.2501,Hospital or Healthcare Facility
Voila Yoga,6435 Caminito Blythefield,La Jolla,CA,92037,32.83272,-117.24418,Sport Facility/Venue
Reach Yoga,1319 Garnet Ave,San Diego,CA,92109,32.7985,-117.24583,Sport Facility/Venue
Corepower Yoga,1554 Garnet Ave,San Diego,CA,92109,32.7998,-117.24171,Educational Facility
Endure Yoga,Ingraham St,San Diego,CA,92109,32.8015,-117.2411,Sport Facility/Venue
Yoga Spirit,1559 Garnet Ave,San Diego,CA,92109,32.7994,-117.2413,Sport Facility/Venue
Flowilder Yoga,Jewell St,San Diego,CA,92109,32.79519,-117.23775,Sport Facility/Venue
