Yoga Spirit,1559 Garnet Ave,San Diego,CA,92109,32.7994,-117.2413,sports-facility-venue
Corepower Yoga,1554 Garnet Ave,San Diego,CA,92109,32.7998,-117.24171,education-facility
Yoga 4 You,1636 Oliver Ave,San Diego,CA,92109,32.79547,-117.2386,sports-facility-venue
Miss Mikas Yoga,Jewell St,San Diego,CA,92109,32.79519,-117.23775,sports-facility-venue
Flowilder Yoga,Jewell St,San Diego,CA,92109,32.79519,-117.23775,sports-facility-venue
Endure Yoga,Ingraham St,San Diego,CA,92109,32.8015,-117.2411,sports-facility-venue
Yoga for Athletes,1804 Reed Ave,San Diego,CA,92109,32.79698,-117.23585,sports-facility-venue
East West Yoga and Health Center,1356 Garnet Ave,San Diego,CA,92109,32.799,-117.24523,hospital-health-care-facility
Reach Yoga,1319 Garnet Ave,San Diego,CA,92109,32.7985,-117.24583,sports-facility-venue
Design 7 Yoga & Fitness Clothing,1852 Garnet Ave,San Diego,CA,92109,32.8014,-117.23655,clothing-accessories-shop
Flow Republic Yoga,Chalcedony St,San Diego,CA,92109,32.804,-117.2429,business-services
Paradise Paddle Yoga,4000 Fanuel St,San Diego,CA,92109,32.791568,-117.244348,sports-facility-venue
Bliss Paddleboard Yoga,4000 Fanuel St,San Diego,CA,92109,32.791568,-117.244348,business-services
Nicole Turner Yoga,,San Diego,CA,92109,32.792153,-117.232148,sports-facility-venue
Yoga with Brianna,Everts St,San Diego,CA,92109,32.8035,-117.2501,hospital-health-care-facility
Ashtanga Yoga Republic,4655 Cass St,San Diego,CA,92109,32.7995,-117.25219,sports-facility-venue
Bird Rock Yoga,910 Grand Ave,San Diego,CA,92109,32.79552,-117.25257,sports-facility-venue
Sup Yoga PB,1010 Santa Clara Pl,San Diego,CA,92109,32.78559,-117.24963,sports-facility-venue
Oceanfront Yoga,Ocean Blvd,San Diego,CA,92109,32.802164,-117.259431,business-services
Mission Beach Yoga,3788 Mission Blvd,San Diego,CA,92109,32.78442,-117.25304,sports-facility-venue
